ClickID,UserID,FeatureID,ClickTimestamp,TimeSpentSeconds
C1000000,U108943,F1252,4/5/2024 8:00,29
C1000001,U100164,F1200,12/12/2024 0:52,116
C1000002,U106989,F1283,5/18/2024 8:25,154
C1000003,U109884,F1097,11/8/2024 8:04,195
C1000004,U101956,F1221,8/11/2024 17:41,258
C1000005,U103860,F1207,12/24/2024 4:48,34
C1000006,U102775,F1274,1/19/2024 11:03,200
C1000007,U101768,F1046,7/28/2024 21:56,296
C1000008,U106226,F1114,11/10/2024 21:58,63
C1000009,U106621,F1183,2/23/2024 23:04,286
C1000010,U100782,F1010,12/22/2024 2:21,61
C1000011,U107820,F1076,1/12/2024 23:53,82
C1000012,U109146,F1220,3/27/2024 1:58,147
C1000013,U109851,F1053,12/15/2024 13:15,39
C1000014,U100140,F1058,2/13/2024 2:09,208
C1000015,U100719,F1192,1/11/2024 12:00,136
C1000016,U101650,F1031,10/12/2024 22:18,80
C1000017,U107885,F1145,9/11/2024 7:18,292
C1000018,U103573,F1131,12/23/2024 17:52,101
C1000019,U101015,F1207,1/30/2024 6:49,14
C1000020,U104383,F1212,1/2/2024 17:06,47
C1000021,U108534,F1178,2/19/2024 11:38,236
C1000022,U106292,F1125,5/3/2024 13:12,53
C1000023,U106353,F1137,3/31/2024 1:35,83
C1000024,U109167,F1244,2/2/2024 3:11,132
C1000025,U103120,F1192,2/29/2024 11:58,274
C1000026,U101823,F1274,4/22/2024 12:09,15
C1000027,U104426,F1134,5/5/2024 0:36,276
C1000028,U100010,F1044,1/3/2024 18:29,183
C1000029,U104604,F1037,6/17/2024 6:55,44
C1000030,U109660,F1134,7/11/2024 14:54,100
C1000031,U109305,F1234,7/13/2024 0:01,278
C1000032,U108813,F1066,5/16/2024 13:46,241
C1000033,U100900,F1074,5/7/2024 20:15,190
C1000034,U103747,F1263,9/25/2024 11:20,250
C1000035,U101471,F1089,3/13/2024 11:35,82
C1000036,U106861,F1101,7/24/2024 19:57,270
C1000037,U103103,F1002,9/23/2024 9:32,133
C1000038,U108518,F1092,2/15/2024 4:47,147
C1000039,U100073,F1011,5/4/2024 3:42,283
C1000040,U100250,F1081,7/16/2024 22:15,58
C1000041,U102497,F1170,8/11/2024 0:32,158
C1000042,U104628,F1233,5/11/2024 5:30,131
C1000043,U108487,F1044,4/10/2024 17:33,224
C1000044,U100297,F1024,10/27/2024 6:13,115
C1000045,U108493,F1003,3/25/2024 9:58,175
C1000046,U108776,F1229,6/19/2024 19:22,65
C1000047,U106517,F1194,2/26/2024 21:24,81
C1000048,U101634,F1155,10/29/2024 22:18,20
C1000049,U105005,F1109,4/15/2024 14:19,270
C1000050,U106029,F1164,1/8/2024 1:16,47
C1000051,U108244,F1060,9/7/2024 5:59,132
